"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458444.88641724,2458444.92153133,3033.858
2458445.58127711,2458445.58396314,232.073
2458445.72864887,2458445.74281200,1223.695
2458445.88059954,2458445.91225025,2734.621
2458446.57043303,2458446.57260153,187.359
2458446.71684546,2458446.72896722,1047.321
2458446.86742624,2458446.89519117,2398.890
2458447.40471945,2458447.40623318,130.786
2458447.55281408,2458447.55437421,134.795
2458447.69828655,2458447.70800753,839.893
2458447.84716787,2458447.87073537,2036.232
2458448.37941794,2458448.38319876,326.663
2458448.52843549,2458448.52956511,97.600
2458448.67311977,2458448.68033001,622.964
2458448.82015484,2458448.83932267,1656.101
2458449.34713246,2458449.35318397,522.850
2458449.49706170,2458449.49850182,124.427
2458449.64146806,2458449.64627853,415.625
2458449.78669345,2458449.80144644,1274.658
2458450.30753329,2458450.31626767,754.650
2458450.45846685,2458450.46125549,240.938
2458450.60340280,2458450.60616201,238.395
2458450.74701507,2458450.75757806,912.642
2458450.90398856,2458450.90825305,368.453
2458451.26046144,2458451.27213104,1008.253
2458451.41253596,2458451.41768211,444.627
2458451.55884513,2458451.56034162,129.297
2458451.70126418,2458451.70807366,588.339
2458451.84978558,2458451.85917206,810.992
2458452.20631231,2458452.21965463,1152.777
2458452.35900040,2458452.36765027,747.348
2458452.50724808,2458452.50915605,164.848
2458452.64950019,2458452.65314669,315.057
2458452.79370126,2458452.80169464,690.628
2458453.29744377,2458453.31088461,1161.288
2458453.44799915,2458453.45227281,369.244
2458453.59163166,2458453.59304670,122.260
2458453.73324736,2458453.73844534,449.105
2458454.22778173,2458454.24662314,1627.898
2458454.38068754,2458454.38924869,739.684
2458454.52683316,2458454.52844523,139.283
2458454.66779990,2458454.66996585,187.138
2458455.15204394,2458455.17203419,1727.158
2458455.30469475,2458455.31970035,1296.484
2458455.45417163,2458455.45867657,389.227
2458456.21997502,2458456.24270931,1964.243
2458456.37280174,2458456.38294518,876.393
2458456.51819892,2458456.52011779,165.790
2458457.12992963,2458457.15463403,2134.460
2458457.28181343,2458457.30069301,1631.196
2458457.43167409,2458457.43797117,544.068
2458458.18224788,2458458.21038694,2431.216
2458458.33534668,2458458.34981177,1249.783
2458458.48170648,2458458.48535480,315.215
2458459.08309444,2458459.10330118,1745.862
2458459.22864793,2458459.25470512,2251.341
2458459.38030674,2458459.39110641,933.091
2458459.52359220,2458459.52521978,140.622
2458460.11680891,2458460.14896544,2778.324
2458460.26749629,2458460.29049725,1987.283
2458460.41691911,2458460.42502675,700.500
2458461.14676457,2458461.18118887,2974.260
2458461.29845322,2458461.31866752,1746.516
2458461.44555933,2458461.45181357,540.366
2458462.16992667,2458462.20452605,2989.386
2458462.32150806,2458462.33962658,1565.440
2458462.46658365,2458462.47161133,434.391
2458463.04671337,2458463.07094109,2093.275
2458463.18569879,2458463.22013825,2975.569
2458463.33676702,2458463.35359933,1454.311
2458463.48026301,2458463.48452637,368.354
2458464.05265106,2458464.08478584,2776.445
2458464.19388518,2458464.22850433,2991.095
